"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqm)","Type of Area","Floor Level","Unit Price ($psm)","Date of Sale"
"1","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1595000","-","53","Strata","11 to 15","30094","Nov-2020"
"2","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1603000","-","53","Strata","11 to 15","30245","Nov-2020"
"3","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1874740","-","63","Strata","11 to 15","29758","Nov-2020"
"4","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1606000","-","53","Strata","11 to 15","30302","Nov-2020"
"5","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1882580","-","63","Strata","11 to 15","29882","Nov-2020"
"6","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1905000","-","63","Strata","11 to 15","30238","Nov-2020"
"7","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1899000","-","63","Strata","11 to 15","30143","Nov-2020"
"8","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1865000","-","63","Strata","01 to 05","29603","Nov-2020"
"9","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1816320","-","63","Strata","06 to 10","28830","Nov-2020"
"10","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1810000","-","63","Strata","06 to 10","28730","Nov-2020"
"11","120 GRANGE","GRANGE ROAD","Apartment","10","CCR","Freehold","New Sale","1","1571000","-","53","Strata","06 to 10","29642","Nov-2020"
