"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","930000","-","947","Strata","11 to 15","982","Feb-2021"
"2","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","975000","-","1055","Strata","06 to 10","924","Feb-2021"
"3","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","885000","-","947","Strata","06 to 10","934","Feb-2021"
"4","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","955000","-","1044","Strata","01 to 05","915","Feb-2021"
"5","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","820000","-","936","Strata","01 to 05","876","Feb-2021"
"6","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","1192000","-","1249","Strata","11 to 15","955","Feb-2021"
"7","1 MOULMEIN RISE","MOULMEIN RISE","Apartment","11","CCR","Freehold","Resale","1","2360000","-","1238","Strata","21 to 25","1907","Feb-2021"
"8","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","930000","-","969","Strata","06 to 10","960","Feb-2021"
"9","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","970000","-","1249","Strata","01 to 05","777","Feb-2021"
"10","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","1668000","-","2347","Strata","11 to 15","711","Feb-2021"
"11","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","950888","-","1044","Strata","01 to 05","911","Jan-2021"
"12","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","915000","-","947","Strata","11 to 15","966","Jan-2021"
"13","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","1370000","-","1442","Strata","06 to 10","950","Jan-2021"
"14","1 CANBERRA","CANBERRA DRIVE","Executive Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","1210000","-","1270","Strata","06 to 10","953","Jan-2021"
