stn_code,mrt_station_english,mrt_line_english,full name,lon,lat
NS1,Jurong East,North South Line,Jurong East MRT STATION,103.7422924,1.333576523
NS2,Bukit Batok,North South Line,Bukit Batok MRT STATION,103.7491264,1.348423777
NS3,Bukit Gombak,North South Line,Bukit Gombak MRT STATION,103.7519486,1.359309377
NS4,Choa Chu Kang,North South Line,Choa Chu Kang MRT STATION,103.7445093,1.385756501
NS5,Yew Tee,North South Line,Yew Tee MRT STATION,103.7474052,1.397535069
NS7,Kranji,North South Line,Kranji MRT STATION,103.7624922,1.42513173
NS8,Marsiling,North South Line,Marsiling MRT STATION,103.7739817,1.43275723
NS9,Woodlands,North South Line,Woodlands MRT STATION,103.7858442,1.436596431
NS10,Admiralty,North South Line,Admiralty MRT STATION,103.8013645,1.440533388
NS11,Sembawang,North South Line,Sembawang MRT STATION,103.8204016,1.448927331
NS13,Yishun,North South Line,Yishun MRT STATION,103.8356437,1.429665597
NS14,Khatib,North South Line,Khatib MRT STATION,103.8331718,1.41789179
NS15,Yio Chu Kang,North South Line,Yio Chu Kang MRT STATION,103.8446515,1.381960215
NS16,Ang Mo Kio,North South Line,Ang Mo Kio MRT STATION,103.8498257,1.369887373
NS17,Bishan,North South Line,Bishan MRT STATION,103.848305,1.350579599
NS18,Braddell,North South Line,Braddell MRT STATION,103.8467991,1.340469001
NS19,Toa Payoh,North South Line,Toa Payoh MRT STATION,103.8475022,1.332629281
NS20,Novena,North South Line,Novena MRT STATION,103.8438256,1.320440791
NS21,Newton,North South Line,Newton MRT STATION,103.8377146,1.313992863
NS22,Orchard,North South Line,Orchard MRT STATION,103.8325251,1.304897702
NS23,Somerset,North South Line,Somerset MRT STATION,103.8390858,1.300264167
NS24,Dhoby Ghaut,North South Line,Dhoby Ghaut MRT STATION,103.8467793,1.298452147
NS25,City Hall,North South Line,City Hall MRT STATION,103.8529853,1.293046948
NS26,Raffles Place,North South Line,Raffles Place MRT STATION,103.8514384,1.284125148
NS27,Marina Bay,North South Line,Marina Bay MRT STATION,103.8553092,1.274741732
NS28,Marina South Pier,North South Line,Marina South Pier MRT STATION,103.8624475,1.271027036
EW1,Pasir Ris,East West Line,Pasir Ris MRT STATION,103.9491369,1.372886237
EW2,Tampines,East West Line,Tampines MRT STATION,103.9447663,1.353764013
EW3,Simei,East West Line,Simei MRT STATION,103.9538201,1.342655786
EW4,Tanah Merah,East West Line,Tanah Merah MRT STATION,103.9457231,1.327064862
EW5,Bedok,East West Line,Bedok MRT STATION,103.9291571,1.323568636
EW6,Kembangan,East West Line,Kembangan MRT STATION,103.9128993,1.321152108
EW7,Eunos,East West Line,Eunos MRT STATION,103.9031786,1.319608667
EW8,Paya Lebar,East West Line,Paya Lebar MRT STATION,103.8927917,1.318254585
EW9,Aljunied,East West Line,Aljunied MRT STATION,103.8824729,1.316487931
EW10,Kallang,East West Line,Kallang MRT STATION,103.8715871,1.31178177
EW11,Lavender,East West Line,Lavender MRT STATION,103.8626503,1.307618539
EW12,Bugis,East West Line,Bugis MRT STATION,103.8559241,1.301204089
EW13,City Hall,East West Line,City Hall MRT STATION,103.8529853,1.293046948
EW14,Raffles Place,East West Line,Raffles Place MRT STATION,103.8514384,1.284125148
EW15,Tanjong Pagar,East West Line,Tanjong Pagar MRT STATION,103.8448205,1.276398746
EW16,Outram Park,East West Line,Outram Park MRT STATION,103.8386525,1.281604154
EW17,Tiong Bahru,East West Line,Tiong Bahru MRT STATION,103.8274451,1.286102536
EW18,Redhill,East West Line,Redhill MRT STATION,103.8172494,1.289485876
EW19,Queenstown,East West Line,Queenstown MRT STATION,103.8054769,1.295380905
EW20,Commonwealth,East West Line,Commonwealth MRT STATION,103.7987143,1.302021258
EW21,Buona Vista,East West Line,Buona Vista MRT STATION,103.7904488,1.30734059
EW22,Dover,East West Line,Dover MRT STATION,103.7784466,1.311704743
EW23,Clementi,East West Line,Clementi MRT STATION,103.7655414,1.314065689
EW24,Jurong East,East West Line,Jurong East MRT STATION,103.7422924,1.333576523
EW25,Chinese Garden,East West Line,Chinese Garden MRT STATION,103.7326688,1.342101479
EW26,Lakeside,East West Line,Lakeside MRT STATION,103.7217171,1.3443026
EW27,Boon Lay,East West Line,Boon Lay MRT STATION,103.7057904,1.338275912
EW28,Pioneer,East West Line,Pioneer MRT STATION,103.6971319,1.33782966
EW29,Joo Koon,East West Line,Joo Koon MRT STATION,103.6786414,1.327957583
EW30,Gul Circle,East West Line,Gul Circle MRT STATION,103.659476,1.318886347
EW31,Tuas Crescent,East West Line,Tuas Crescent MRT STATION,103.6493543,1.321153373
EW32,Tuas West Road,East West Line,Tuas West Road MRT STATION,103.639813,1.330156709
EW33,Tuas Link,East West Line,Tuas Link MRT STATION,103.6366648,1.340438332
CG1,Expo,Changi Airport Branch Line,Expo MRT STATION,103.9630504,1.335032564
CG2,Changi Airport,Changi Airport Branch Line,Changi Airport MRT STATION,103.9873046,1.357220256
NE1,HarbourFront,North East Line,HarbourFront MRT STATION,103.8215302,1.265389384
NE3,Outram Park,North East Line,Outram Park MRT STATION,103.8386525,1.281604154
NE4,Chinatown,North East Line,Chinatown MRT STATION,103.8437534,1.283735072
NE5,Clarke Quay,North East Line,Clarke Quay MRT STATION,103.8465552,1.288386024
NE6,Dhoby Ghaut,North East Line,Dhoby Ghaut MRT STATION,103.8467793,1.298452147
NE7,Little India,North East Line,Little India MRT STATION,103.8493516,1.305614182
NE8,Farrer Park,North East Line,Farrer Park MRT STATION,103.8547704,1.312329444
NE9,Boon Keng,North East Line,Boon Keng MRT STATION,103.8615695,1.319335709
